series_num,poem_num,stanza_num,line_num,token_num,pos_tuple,pos,token_str,term_str
1,8,1,0,21,"('And', 'CC')",CC,And,and
1,8,1,0,22,"('then', 'RB')",RB,then,then
1,8,1,0,23,"('the', 'DT')",DT,the,the
1,8,1,0,24,"('brake', 'NN')",NN,brake,brake
1,8,1,0,25,"('is', 'VBZ')",VBZ,is,is
1,8,1,0,26,"('still', 'RB')",RB,still,still
1,8,2,0,0,"('The', 'DT')",DT,The,the
1,8,2,0,1,"('smitten', 'NN')",NN,smitten,smitten
1,8,2,0,2,"('rock', 'NN')",NN,rock,rock
1,8,2,0,3,"('that', 'WDT')",WDT,that,that
1,8,2,0,4,"('gushes', 'VBZ')",VBZ,gushes,gushes
1,8,2,0,6,"('The', 'DT')",DT,The,the
1,8,2,0,7,"('trampled', 'JJ')",JJ,trampled,trampled
1,8,2,0,8,"('steel', 'NN')",NN,steel,steel
1,8,2,0,9,"('that', 'IN')",IN,that,that
1,8,2,0,10,"('springs', 'NNS')",NNS,springs,springs
1,8,2,0,12,"('A', 'DT')",DT,A,a
1,8,2,0,13,"('cheek', 'NN')",NN,cheek,cheek
1,8,2,0,14,"('is', 'VBZ')",VBZ,is,is
1,8,2,0,15,"('always', 'RB')",RB,always,always
1,8,2,0,16,"('redder', 'VB')",VB,redder,redder
1,8,2,0,17,"('Just', 'NNP')",NNP,Just,just
1,8,2,0,18,"('where', 'WRB')",WRB,where,where
